,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,1.0580561737388576,1.0005733223762183,1.0469195831047178,1.0009662314903272,1.0000000000000475
1,1,1.0513870645836731,1.0003158342788094,1.0464686891157897,1.000809095882187,1.0000000000002391
2,2,1.0533952653292893,1.0003512289560306,1.0392571877257983,1.0007232459200193,1.0000000000001243
3,3,1.0469118615186848,1.0003132703501358,1.0357304753677596,1.0005732896919624,1.0000000000296692
4,4,1.048280021598676,1.0003127854387308,1.0384598014388184,1.0006704976384537,1.0000000000004134
5,5,1.05747743446367,1.0003622963981857,1.038463891927512,1.0005447810929848,1.000000000004396
6,6,1.0513962235780663,1.0005502673968802,1.0399622090359415,1.0007756836782344,1.0000000002555505
7,7,1.0500389767218234,1.0003139089457453,1.0399248898777822,1.00090450277991,1.0000000000013864
8,8,1.0594223442100406,1.0003275040856165,1.0415389166022104,1.0006214793994979,1.0000000000012683
9,9,1.0400246852182653,1.0006882472282368,1.0391320639194221,1.000828979629123,1.0000000002646106
10,10,1.0494271938654811,1.0001869085816328,1.0424882689191453,1.0007658974188764,1.0000000000028768
11,11,1.0491574077242656,1.0004823653408927,1.0492605137515771,1.0007076676449567,1.000000000062837
12,12,-1.0,1.0004105218368897,1.0436548776684127,1.0010358630756457,1.0000000002246985
13,13,1.0384865401068004,1.0005220694696597,1.0428966821844337,1.0008294853356978,1.0000000000407911
14,14,1.0449532798289525,1.0003463830239303,1.0446293206957598,1.000844463908764,1.0000000000821043
15,15,1.0490705096247956,1.000366726205122,1.0428065774234814,1.0010198378794053,1.000000000000048
16,16,-1.0,1.0004185721554495,1.045041126470927,1.0008032215175102,1.000000000132181
17,17,1.0525964443730111,1.0003519401439276,1.0468333854375036,1.000814189457883,1.0000000000063234
18,18,-1.0,1.0003166358392155,1.0427394720356555,1.0008903014502386,1.0000000000072593
19,19,-1.0,1.000579572591471,1.0383579380393182,1.0007048632686089,1.0000000000007947
20,20,1.059443938644708,1.0005663515711678,1.0358127056057618,1.0008633445801345,1.0000000000008014
21,21,-1.0,1.0003918930227065,1.0449116704692791,1.000675097495863,1.0000000000040028
22,22,1.047400212457373,1.0003183619297,1.0468605544418927,1.000921085561749,1.0000000003014817
23,23,-1.0,1.0004223644838675,1.0422788760218145,1.0006918233399251,1.0000000017928008
24,24,1.0532982454057491,1.0002909482692999,1.0470821006457263,1.000905667631319,1.0000000000074087
25,25,-1.0,1.0004840305862968,1.0453847107669625,1.0007961337498745,1.0000000001117682
26,26,1.056818911621391,1.0004523741254492,1.0437624172220445,1.0005851125407395,1.0000000000032303
27,27,1.0549338166237254,1.0002906913800682,1.043271072520888,1.000704072528011,1.000000000010116
28,28,1.045795527841085,1.0003531944392074,1.0444486885912816,1.000871696137914,1.000000000000089
29,29,1.055266142028673,1.0003047334292643,1.045830994735425,1.0007204652535038,1.0000000000394758
