,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,-5.1037326760950785,-11.6108567956832,-4.410325047121399,-9.906699203243932,-4.352526463865035
1,1,-4.802435713440811,-9.654643116275793,-4.87810185247383,-9.257901856159616,-4.292114493508548
2,2,-4.4229778003410365,-10.091687404309694,-5.109723361330788,-10.71185387033601,-4.941409276451784
3,3,-4.2764381125573365,-9.857687147143846,-3.832441901053559,-8.884151473448526,-4.669805617781126
4,4,-5.93324207929483,-9.330602115257621,-4.884041067667426,-10.548132631280435,-4.220887597479547
5,5,-5.575348918081743,-10.862121335193098,-5.100378307004666,-9.368315831264486,-3.1128167788083725
6,6,-5.305366686521344,-9.79909269288457,-4.663645006627328,-10.198931764730668,-5.338531093323408
7,7,-4.437339618362548,-10.599372511488129,-6.356644599531128,-8.946693294090162,-6.769793179708559
8,8,-5.0138893777565485,-8.232628201250575,-4.657342270143593,-9.496414642857284,-3.8959575371830533
9,9,-4.670647750791924,-9.86322777128805,-4.2538812382436735,-9.663972387064023,-4.620624752873807
10,10,-5.889543285294183,-10.576542083287643,-5.014434344776648,-10.295185603897373,-3.7563607707009554
11,11,-5.465131220661316,-9.537300093549792,-4.972803300723127,-9.6337948733803,-3.859942057361174
12,12,-5.363912302990373,-8.927792130065711,-4.295731428881565,-9.610342456073099,-6.079248301897613
13,13,-5.454793592887945,-10.84225647748472,-4.765593020267464,-10.150013628458439,-4.09976784835612
14,14,-5.8341951566641175,-9.147237655249453,-4.435336074661533,-9.553885816080953,-4.875673947206314
15,15,-1.0,-10.941437876785178,-5.0092938596668555,-10.155993770953309,-5.915798350760688
16,16,-5.327422764415156,-8.458776661787894,-4.068539723681336,-9.416822983236207,-5.391897976549797
17,17,-5.143986550189852,-9.356063987542653,-4.37888037388659,-10.091303601309754,-7.8302392136114465
18,18,-6.729044774343942,-9.871496864779974,-4.0705363072002845,-9.88771953577614,-2.5593739738283814
19,19,-5.171965020475476,-8.80779080927801,-6.703243844451636,-8.908689853253431,-5.061035274618147
20,20,-7.06693272608896,-11.22767646057435,-3.8605245618760744,-9.759294123782562,-4.938730090951595
21,21,-5.552875152659363,-10.056942458540798,-4.666652885841382,-9.182233753957513,-4.5095448860286185
22,22,-5.053043030577116,-11.20887370291733,-5.18300045378836,-9.059180281734356,-4.020409543635643
23,23,-5.096600691136089,-10.809850211162058,-4.399105531826605,-9.592063260032184,-3.6768722340089615
24,24,-5.106172162136494,-10.818566364772417,-4.606784033963333,-9.604119225115562,-3.9180545835861156
25,25,-5.317842008078661,-9.5630119631348,-4.248538398358864,-8.857148135011288,-4.00887548771572
26,26,-5.068781235293074,-8.842541025493194,-3.8894342090990905,-9.640979014339528,-3.5575918270029683
27,27,-5.938844727232384,-9.13882992451178,-5.981801511502969,-10.410238457064013,-3.2924034101722777
28,28,-5.973027428134198,-9.758097991737666,-5.890780727002805,-10.238979967656414,-3.48594532927063
29,29,-4.485616180173857,-11.878624083863649,-5.130775331109869,-11.200165281379718,-2.7338974471525637
