,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,32058.192023771568,-46213.78478447845,51952.4717598718,-25941.93603514906,-89996.98863875163
1,1,42035.37629140054,-49700.921446008004,48698.820321107894,-33728.04587401903,-89819.03878693374
2,2,43280.20319332736,-45501.569226497224,50777.947027200404,-25059.574815628028,-89999.99694402776
3,3,46468.287878039235,-44886.00520207335,49853.474130551316,-41938.89232947979,-89999.50806449009
4,4,37117.07126522733,-46331.148218322116,48894.47947960917,-28495.70278794661,-89999.48062104486
5,5,44082.78384169496,-47841.95259684262,35612.58977368941,-43226.478224622675,-89999.45258772979
6,6,41298.24911724331,-45468.66451485035,42123.172976933936,-34013.66522387859,-89999.77704980853
7,7,50193.9937521514,-37331.45314119494,35573.01657756413,-32877.708200815265,-89999.99068863026
8,8,30190.89128647689,-42590.87662166971,24101.955121792424,-32422.03573381109,-89999.93865797849
9,9,43357.587313102544,-45074.61203698115,42669.273839061316,-37431.65787563459,-89994.12211131261
10,10,43805.812012531525,-35291.178885570356,44028.566376552815,-36700.80852387862,-89998.55595717738
11,11,47212.026891993366,-59012.79742662963,53074.88694250621,-27646.72146441737,-89999.97842153997
12,12,43623.86822140205,-58625.05913178383,48988.31068605119,-32353.15465513735,-89999.65402005406
13,13,37713.1055189208,-46983.196924903445,25667.451583167174,-30584.02184062889,-89999.99432201147
14,14,40261.73181533968,-53988.05536721849,32781.56517782711,-29898.74564148303,-89999.89982112724
15,15,48145.54753590178,-45231.13693748737,45352.89459613335,-31413.539332232584,-87932.74539434281
16,16,32948.62093235212,-36086.36767787679,53792.53173844798,-34850.93800702079,-89824.84919923735
17,17,34114.23068311542,-40741.84796772619,44047.74651525873,-28263.190528963867,-89999.67062960305
18,18,43529.795560057115,-39915.3011642659,36659.352220574,-36132.73733957006,-89998.6173485604
19,19,29922.806225959,-40325.50899719739,47315.457832200766,-30482.878921536354,-89995.72427462644
20,20,44992.50294203211,-44689.15697486115,43074.89126409511,-26540.005014820195,-89999.94820203345
21,21,36139.451812534295,-42267.65587121601,45196.06119863143,-28167.262801506,-89113.77300093012
22,22,46566.33008676143,-46303.6405151175,48700.54229429996,-34659.00929252227,-28559.79059681007
23,23,22439.484107696317,-42534.542067727685,35237.77061064221,-30478.85366767782,-86158.8648250149
24,24,40509.64704262909,-54054.27896386785,48371.66678118872,-36940.38645228357,-89999.89192914228
25,25,29709.404084999784,-44181.88602730466,25625.777260327977,-36519.21793863697,-89995.51839936692
26,26,39667.88013082942,-44684.521137322066,37728.521255494525,-31728.385198423042,-89999.1803411027
27,27,48811.0233440118,-50722.70671304432,24351.61746034887,-33535.80494555373,-89999.97829038936
28,28,44792.714524617215,-50973.31221807665,40469.12238647041,-31199.41540238781,-89999.99829085168
29,29,37153.987415405565,-50190.257013037815,37028.416280040845,-36361.68392467,-89963.34103342694
