,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,-1.0,439.28163547719254,391912.4125792207,540.791312197629,28.93882889321368
1,1,737795.336508808,623.6210324647534,471205.8917024399,622.34495792503,28.97122097521311
2,2,641059.1472464028,341.8012277137002,299317.9909635115,688.1432931637028,28.87834888222107
3,3,-1.0,232.08731830109076,436709.47428837675,379.1066740741642,28.838435290396802
4,4,593777.4791864087,298.88367400738935,490324.9733701278,353.2966560477159,28.978046003968416
5,5,699325.3981905833,278.28592789155135,484558.9939946202,421.722283713327,28.947958519861285
6,6,684973.2850065922,295.64225793775455,398218.0600093807,346.4703642960182,28.883162705095803
7,7,677076.0871843466,268.4118343417148,399308.96742655296,376.64980191913406,28.94744294791316
8,8,659503.27942023,296.7776372556184,251540.58197137222,480.77450027748876,28.917412364684086
9,9,714024.6190444155,338.38422714942834,382001.8451916636,424.36139270222696,28.945286846256803
10,10,693957.8303205271,210.99197170477768,382961.6875547044,428.38174358237796,28.91666885048294
11,11,627805.8588013994,288.86542205243535,468163.9760038678,375.7515484776042,28.955281004931916
12,12,414970.76461668697,288.93819473760703,439583.43210789183,478.4079455829872,28.968486574056982
13,13,697776.1916511069,309.38747306839997,310289.07537602406,681.8635502117073,28.96052186867914
14,14,607382.7210623964,462.95074417804756,291971.97191968205,559.6255654567688,28.871186262924162
15,15,672144.7973218431,304.8903962185913,453257.38390163763,520.5838706830804,28.97099282882347
16,16,606457.4464041668,436.082894189955,442230.13144832366,387.4957026868999,28.95103204558378
17,17,-1.0,400.9960065656702,373871.8107664247,517.1021010751363,28.87523846776565
18,18,666562.994399879,261.51556228262945,349171.02057112096,340.66095449020503,28.923225631813125
19,19,712368.1473318704,225.97451818973246,438089.38240587444,381.52425503445266,28.963038872753113
20,20,740360.0953901579,368.00028875482644,299508.58467959,413.25774487302084,28.976617070355694
21,21,554168.9995268795,206.60527168090968,400120.9987146959,329.8299262768506,28.91779160880566
22,22,685975.2434163869,267.86373491361223,446002.39330685703,297.32201727863253,28.957285458003398
23,23,495500.53663107374,379.4974034452907,503352.97024093405,470.0843123776842,28.935690844999186
24,24,-1.0,290.3922007988402,389515.42667860014,424.19729540410424,28.962550907019512
25,25,665896.1168396112,208.49131512695405,413182.19540353003,450.92061925968466,28.941121756248084
26,26,-1.0,388.2542318866145,352971.48706205573,444.6220890099683,28.94269279564803
27,27,808041.195379714,517.7181423543581,396188.65653439175,737.2509427835599,28.987409412643984
28,28,466799.48199236696,251.34151004698128,545222.1244519145,575.9812668317776,28.8912286193599
29,29,710579.2973501814,584.238270675056,490314.06321397616,555.9817577244822,28.98926206679508
