,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,8872.110815581445,10250.281094186075,10247.491404375201,-1.0,6608.4997515656405
1,1,9512.210403458988,10434.415972005725,10761.160677792275,-1.0,9461.502380020029
2,2,8738.755636286845,9874.208635890343,10837.452200448868,-1.0,10538.041160004777
3,3,9459.9492051224,10569.126474391353,9705.221801731244,-1.0,10407.042656412625
4,4,9628.104890264967,9993.109494818227,9950.78998881566,-1.0,8420.207865194569
5,5,8924.553988160409,10130.740287393517,10066.380392600651,-1.0,5973.350937387015
6,6,9731.781724111645,10177.44842853941,10332.744209799226,10891.428932870374,11000.692341438882
7,7,9318.960195954025,10372.761845479956,9537.547462618928,-1.0,9655.843940533116
8,8,9406.78614186442,10141.149127670187,10309.723845636134,-1.0,10013.503655547107
9,9,9758.064660103799,10032.636836777136,10726.071593686696,-1.0,8383.173127156082
10,10,9652.194579583076,8551.188489560149,10931.337565729707,-1.0,8798.445027971267
11,11,9782.17612698992,10571.729076701651,10424.604037365485,-1.0,8063.8118935380835
12,12,9057.706355640305,10204.090398417218,10401.03439400845,-1.0,10104.849117712365
13,13,9552.959689965446,10202.187433545083,10570.381818405287,-1.0,9249.254102438133
14,14,9002.065369563346,10179.887991916064,10383.611994818128,-1.0,8688.911728033794
15,15,9757.131297118096,10390.297786717345,10159.042686250694,-1.0,4600.021027203981
16,16,9539.77524178017,10238.092801224046,9889.095487755134,10195.81478829063,9952.769915603625
17,17,8791.487841615855,9152.481240056724,11194.14012290923,-1.0,10016.870785945002
18,18,9831.888791851045,10539.521007826836,10456.847976161318,-1.0,10296.689094782836
19,19,9418.06228981587,9946.03355105906,10203.798218066258,11156.389733539381,9191.140696111612
20,20,9000.617744596837,9141.00482499872,10843.606833622627,-1.0,8741.724549081855
21,21,9816.447852645982,10272.248356153767,11301.59776289248,-1.0,9778.302101647638
22,22,9798.249260830979,10483.136446838307,9866.953455232608,-1.0,8002.966014884083
23,23,10071.33969635947,10220.819685086302,10512.355455026844,-1.0,10672.20871260755
24,24,9526.187374443485,10653.211841060864,10978.087400822438,-1.0,10387.616861887785
25,25,10088.782661722536,10598.195473236641,10008.960345791322,-1.0,9276.363130318061
26,26,9571.40419679137,9561.616687879805,10849.70372827708,-1.0,8145.085084693093
27,27,10161.227590361865,8978.988463131167,11114.17951400936,-1.0,10018.291107520025
28,28,9836.949989363324,9851.293023287171,10461.194229637227,-1.0,8975.76695092581
29,29,9164.104209704792,10362.534656354881,10908.569009100162,-1.0,9873.744825449852
