,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,258.80566227321077,1.7804330082385014,255.23235061874934,3.6491622476521264,2.957057938612522e-09
1,1,327.6597861884599,1.0093827055721576,241.29632511560683,3.566845742791237,2.389469177893175e-09
2,2,286.41700075870267,1.398171606280503,227.94963197960314,2.480324350933841,6.961426540163793e-07
3,3,340.1533115316494,2.7176522929604023,244.56020862364224,3.684881517960342,0.03864985917315779
4,4,341.15255248803453,1.7746912654887812,240.83129549458286,4.664587672445129,0.0027335884690949308
5,5,287.1159875588347,1.8275785152909922,269.9224235270376,3.4984082892341246,1.581484834473648e-08
6,6,-1.0,1.2201522350327958,185.61272658511555,2.9046936889904478,8.004256907242127e-08
7,7,315.08945021992105,2.0171298042237993,197.3124140419314,3.345074078285455,6.532864859315676e-05
8,8,258.266533823136,1.3673596055913686,199.83057029295594,2.6978165474686198,3.2541180350031027e-09
9,9,280.7071812136672,1.8151596383314854,281.5124924135548,3.400160965941959,1.8779314770446966e-09
10,10,262.5810273666316,1.9134075109231192,280.76058770333424,2.775862913906478,3.138065490419501e-08
11,11,332.79415383935105,1.5734510924104281,221.13348651354752,3.68111297027156,0.00019680497170463602
12,12,338.754420622885,1.6393086128260521,241.99792312606488,3.7141462253075526,2.789598041533412e-07
13,13,291.08062923747036,2.0181936137404324,214.20064287555502,2.8032676904535503,1.3394914502991495e-07
14,14,301.41126403290104,1.3770273284935974,247.89837738771104,3.7265566135834636,2.8317004312682078e-05
15,15,295.8653681839024,2.659716448333609,239.91955060150403,3.5957379213990226,4.5330482668322185e-09
16,16,252.41920296845385,1.2801934572142712,212.8596214004974,3.1239308071538145,1.1892793168177766e-05
17,17,316.72449078600164,2.9907601543222757,260.2748911642456,3.312611635116907,4.567844171103849e-08
18,18,-1.0,1.8482180924740292,168.61541821250447,2.2375164005206196,0.00038764944162815744
19,19,-1.0,1.5227245771487583,234.24299763824513,4.144163665739773,3.523146153931673e-10
20,20,287.4543567515898,1.0242759026160848,219.40224456381446,3.709168866185693,5.232593044182444e-07
21,21,305.8643018025942,2.0292872399689634,281.6906503389558,3.653973844545276,7.361876946777077e-08
22,22,292.8914358205113,2.8029722950790332,230.3959248090851,2.880005709802834,4.349455466807343e-08
23,23,336.4989483062125,1.1214562427140335,255.4060079806913,2.6176187066989223,32.34508992190651
24,24,250.40014886080218,1.96965825216313,271.56187160883866,3.512386411903162,3.832074397621785e-10
25,25,334.67830441820155,1.2958436715942714,236.60409756205718,3.325092715021088,8.377062918228864e-08
26,26,303.0115396168693,2.0126884118761934,300.09557032960663,3.174961190312513,4.193699063312916e-08
27,27,321.59132744910954,2.5918879131494226,247.0164945320745,4.1072824868199875,2.620898040873155e-07
28,28,210.97760995949733,2.5474493266618508,253.00425891330346,3.104090820676368,1.218036919754373e-07
29,29,314.2902191123277,1.5715163805979917,247.73620442757783,3.4481498838675195,0.0001188404306748566
