,Experiment N.,Differential,Swarm,SOMA,Fireflies,Teacher-Student
0,0,1223.6725311413345,44.67160508697342,1528.2814728817812,35.20544696406681,6.756002067751333e-06
1,1,1151.209094589075,165.9571376634053,5678.216048290386,33.859519786447784,7.062231269507033e-06
2,2,1260.851635937361,104.01587212896641,867.1147639362625,48.63762264172645,2.729151150858859e-07
3,3,1165.4355087812069,62.1212746343166,36910.219581044534,26.510383407807346,7.70038389535119e-08
4,4,1055.8718271600803,45.55303196726745,48327.41829932717,28.4724514673383,0.4621477593734421
5,5,1280.8297094779523,72.99064956719108,1213.7524333856363,74.15645282148076,1.9311856906901886e-07
6,6,1478.4136407951703,76.08968849247877,6052.210466663394,37.06621042393971,0.004540617849961768
7,7,980.0565653171074,125.83732710982358,735.7148137506122,64.44193705400218,2.655798556919967e-06
8,8,996.2652889972334,88.71911612971792,5522.132994985251,53.94987313698377,8.105047950287354e-07
9,9,831.98455407062,86.6064200222524,191653.5344064638,38.2187615848296,6.698313973815968e-07
10,10,1442.833594608247,102.02476720885812,51869.27555785624,32.004545914839646,1.587982279007664e-07
11,11,1304.4655312564764,99.07464024005674,1075.8789741862531,38.66100849303161,2.0596168865981287e-06
12,12,1383.876663422376,105.19703596334205,1183.9646230348465,40.094135969630955,1.2439914464966519e-08
13,13,1193.2686488179802,130.946705957811,1114.798023682989,44.7505513452809,2.2179527712739212e-07
14,14,1467.4286855515015,104.70736269482774,179088.2467349991,37.624295371802944,2.666212762191028e-08
15,15,2665.686322906575,102.4712786221456,661684.8662875011,28.20092913072848,8.315220028656444e-06
16,16,3822.5786220726345,76.23446051364627,19312.82671964364,51.78534483826441,9.887142319351667e-08
17,17,953.2866631022539,135.77750193936615,1413.8256814842198,45.159478506412896,1.2727114376686018e-07
18,18,913.713171073926,133.1945037604435,950916.1162034048,33.16469518060155,7.943675890742215e-06
19,19,1019.0047124029692,105.29322543027263,47494.53412679332,55.05375810471467,1.879213399338669e-08
20,20,1481.4950550436133,51.88220225892351,1919.0245983749896,37.846720649586594,8.972903991308671e-08
21,21,1786.2036784585814,96.96031318187697,22726.13407398532,54.992960322893936,1.9676594410861362e-05
22,22,1308.6783039537634,59.27223411383626,14295.130874746901,37.021056022477396,1.2499690793255161e-08
23,23,1596.4268010782157,51.795331095109695,24924.816552425833,42.245621340046156,5.195019041060108e-07
24,24,1122.1988160364087,31.508467816308478,8288.471761258405,50.631097720402536,1.3910880823952606e-07
25,25,3917.1346241051015,68.80166018317048,919.0611349232875,28.175454873438742,6.180833772549674e-05
26,26,1162.005884478938,150.4357929058848,1091.3346831120555,35.52909355143635,2.7370366715135896e-05
27,27,1519.201598700624,28.252590143295947,3993.3626254450182,48.96358276684161,8.473512684057358e-07
28,28,1411.654315295674,67.20762690836347,61262.48698248731,37.629825531798026,315.81007322847927
29,29,1112.4074602532287,113.11937022709473,203324.8721678188,55.481140029809154,1.996932051337542e-06
